description,title
"Conduct competitive analysis and market research to inform product decisions. Experience with B2B or B2C SaaS products is highly desirable. Strong analytical skills and experience using data to drive product decisions. Demonstrated track record of shipping successful products is required. Identify and mitigate product risks throughout the development lifecycle. A degree in Business, Computer Science, or a related field is preferred. Knowledge of UX design principles and ability to work closely with designers. Define and track key product metrics including activation, retention, and revenue.",Product Manager
Experience with transformer architectures and pre-trained language models is a strong plus. Partner with DevOps teams to containerize and deploy models using Docker and Kubernetes. Contribute to the selection and evaluation of ML frameworks and tools. Work in an Agile environment with regular sprint cycles and code reviews. Build and maintain MLOps infrastructure including model monitoring and retraining pipelines. Integrate ML models into production applications via REST APIs.,Machine Learning Engineer
"Use CSS preprocessors such as SASS or LESS and utility frameworks like Tailwind CSS. Translate UI/UX designs into clean, semantic HTML, CSS, and JavaScript code. A degree in Computer Science, Web Development, or a related discipline is preferred. Ability to work collaboratively with UI/UX designers using Figma or Sketch. Implement state management solutions using Redux, MobX, or Vuex. Work within Agile teams and contribute to sprint planning and backlog grooming. Implement accessibility (WCAG) standards to ensure inclusive user experiences. Own the design-system implementation in Storybook, converting Figma tokens into reusable Tailwind components.",Frontend Developer
"Define and track key product metrics including activation, retention, and revenue. Identify and mitigate product risks throughout the development lifecycle. Ability to lead cross-functional teams without formal authority. A degree in Business, Computer Science, or a related field is preferred. Lead product discovery processes including user interviews and usability testing. Demonstrated track record of shipping successful products is required.",Product Manager
"Administer Linux servers and ensure system security and stability. Strong scripting skills in Bash or Python are required. Strong communication and collaboration skills are essential. Work closely with development teams to improve deployment frequency and reliability. A degree in Computer Science, Information Technology, or a related field is preferred. Collaborate on disaster recovery planning and business continuity strategies. Ability to respond to and resolve production incidents effectively.",DevOps Engineer
"Gather and prioritize product requirements from customers, stakeholders, and market research. Conduct competitive analysis and market research to inform product decisions. Strong leadership, collaboration, and decision-making capabilities. Identify and mitigate product risks throughout the development lifecycle. Proficiency in tools such as JIRA, Confluence, Productboard, or Notion.",Product Manager
"Use frameworks such as TensorFlow, PyTorch, and Scikit-learn to build models. Contribute to the selection and evaluation of ML frameworks and tools. Work in an Agile environment with regular sprint cycles and code reviews. Monitor deployed models for performance drift and data quality issues. Implement feature engineering, model versioning, and experiment tracking. Experience with data pipelines using Apache Spark or Apache Kafka is advantageous.",Machine Learning Engineer
"Continuously improve software delivery pipelines using CI/CD tools. Follow Agile/Scrum methodologies and participate in sprint planning and retrospectives. Research and adopt new technologies to improve development processes. Write unit tests and integration tests to ensure software reliability. Implement security best practices throughout the software development lifecycle. Design, develop, and maintain high-quality software applications using modern programming languages. Experience with microservices architecture and RESTful API design is expected. Participate in code reviews to ensure code quality and share knowledge with the team.",Software Engineer
"Strong collaboration and communication skills are valued. Integrate with third-party APIs, messaging queues, and external data sources. Participate in architectural design discussions and contribute to technical decisions. Experience with RESTful and GraphQL API design is expected. Build server-side logic using Python (Django/Flask/FastAPI), Node.js, or Java Spring Boot. Implement authentication, authorization, and security controls in back-end systems.",Backend Developer
"Familiarity with A/B testing and experimentation frameworks is desired. Optimize ML models for latency, throughput, and resource efficiency. Monitor deployed models for performance drift and data quality issues. Collaborate with data scientists to bring ML prototypes into production-grade systems. Experience with cloud-based ML services such as AWS SageMaker or Azure ML is preferred. Build and maintain MLOps infrastructure including model monitoring and retraining pipelines.",Machine Learning Engineer
"Excellent teamwork and communication skills are required. Set up and manage virtual networks, load balancers, and VPNs in cloud environments. Implement disaster recovery and backup strategies in the cloud. Maintain documentation for cloud architecture and operational procedures. Configure and manage serverless services such as AWS Lambda or Azure Functions. Optimize cloud resource usage to reduce costs while maintaining performance.",Cloud Engineer
"Create data-driven presentations to communicate insights to executive stakeholders. Ability to manage multiple projects simultaneously and meet deadlines. Knowledge of SQL for basic data querying and validation is an advantage. Bridge the gap between business units and IT development teams. Familiarity with ERP systems such as SAP or Oracle is a plus. Conduct gap analysis to identify areas of improvement in existing processes. Develop and maintain business intelligence dashboards and reports. A degree in Business Administration, Information Systems, or a related field is required.",Business Analyst
"Drive data-driven decision-making across the organization. Collaborate with engineering and product teams to integrate models into production systems. Experience deploying machine learning models using REST APIs is advantageous. Experience with TensorFlow, PyTorch, or Scikit-learn is highly desirable. Knowledge of feature engineering and model selection techniques is essential. Work cross-functionally with business analysts and data engineers.",Data Scientist
"Document APIs using tools such as Swagger or Postman. Build high-throughput gRPC microservices in Go with no involvement in front-end or UI work. Strong SQL skills and database design experience are essential. Design and develop robust, scalable back-end services and APIs. Develop event-driven architectures using message brokers like Kafka or RabbitMQ. Familiarity with Docker and cloud deployment platforms is advantageous.",Backend Developer
"Design and manage relational and non-relational databases including PostgreSQL and MongoDB. Excellent problem-solving skills and ability to debug complex back-end issues. Build server-side logic using Python (Django/Flask/FastAPI), Node.js, or Java Spring Boot. Write unit tests, integration tests, and ensure code quality through reviews. Proficiency in Python, Java, Node.js, or Go is required. Participate in architectural design discussions and contribute to technical decisions. Strong SQL skills and database design experience are essential. Build high-throughput gRPC microservices in Go with no involvement in front-end or UI work.",Backend Developer
"Proficiency in Python, Java, Node.js, or Go is required. Build high-throughput gRPC microservices in Go with no involvement in front-end or UI work. Familiarity with Docker and cloud deployment platforms is advantageous. Integrate with third-party APIs, messaging queues, and external data sources. Understanding of software design patterns such as MVC, CQRS, and event sourcing. Design and manage relational and non-relational databases including PostgreSQL and MongoDB. Strong collaboration and communication skills are valued.",Backend Developer
"Collaborate with technical teams to translate business needs into functional specifications. Gather, analyze, and document business requirements from stakeholders. Strong understanding of business process modeling using BPMN is preferred. Attention to detail and strong organizational skills are expected. Analyze business processes and recommend solutions to improve efficiency. Familiarity with ERP systems such as SAP or Oracle is a plus. Develop and maintain business intelligence dashboards and reports. Use tools such as JIRA, Confluence, and Visio for documentation and tracking.",Business Analyst
"Strong leadership, collaboration, and decision-making capabilities. Conduct competitive analysis and market research to inform product decisions. Strong analytical skills and experience using data to drive product decisions. Lead product discovery processes including user interviews and usability testing. Excellent communication and presentation skills for diverse audiences.",Product Manager
"Strong understanding of supervised and unsupervised learning algorithms is required. A Bachelor's or Master's degree in Computer Science, Mathematics, or a related field is required. Experience with transformer architectures and pre-trained language models is a strong plus. Work in an Agile environment with regular sprint cycles and code reviews. Use frameworks such as TensorFlow, PyTorch, and Scikit-learn to build models. Proficiency in Python and familiarity with C++ for performance-critical components. Experience with cloud-based ML services such as AWS SageMaker or Azure ML is preferred.",Machine Learning Engineer
"Manage and provision infrastructure using Infrastructure-as-Code tools such as Terraform or Ansible. Configure and maintain cloud environments on AWS, Azure, or GCP. Proficiency with Docker and Kubernetes is essential for this role. Strong scripting skills in Bash or Python are required. A degree in Computer Science, Information Technology, or a related field is preferred.",DevOps Engineer
"Knowledge of microservices and distributed systems architecture is preferred. Maintain Spring Boot services that power the core business logic layer, leaving all UI concerns to frontend engineers. Integrate with third-party APIs, messaging queues, and external data sources. Write unit tests, integration tests, and ensure code quality through reviews. Good understanding of data security and GDPR compliance requirements. Understanding of software design patterns such as MVC, CQRS, and event sourcing.",Backend Developer
"Write clean, scalable, and well-documented code following best practices. Implement algorithms and data structures to solve computationally intensive engineering problems. Integrate third-party services and APIs into existing systems. Participate in code reviews to ensure code quality and share knowledge with the team. Use version control systems such as Git to manage source code. Write unit tests and integration tests to ensure software reliability. Follow Agile/Scrum methodologies and participate in sprint planning and retrospectives.",Software Engineer
"A degree in Computer Science, Information Technology, or a related field is preferred. Experience with Jenkins, GitLab CI, or GitHub Actions is required. Strong scripting skills in Bash or Python are required. Knowledge of networking concepts including DNS, load balancing, and firewalls is expected. Ensure secure configuration of infrastructure components and access controls. Hands-on experience with AWS services such as EC2, S3, RDS, and Lambda is preferred. Strong communication and collaboration skills are essential.",DevOps Engineer
"Conduct security awareness training for employees across the organization. Review and audit access controls, user privileges, and identity management systems. Perform threat intelligence analysis to stay ahead of emerging attack vectors. A degree in Cyber Security, Computer Science, or Information Technology is required. Respond to security incidents, perform root cause analysis, and implement remediation. Prepare security reports and communicate risks to executive stakeholders. Develop and enforce security policies, standards, and procedures. Knowledge of ethical hacking methodologies and tools (Metasploit, Burp Suite, Nmap).",Cyber Security Analyst
"Work with project managers to ensure project deliverables align with business goals. Create detailed business requirement documents, user stories, and process flows. Support UAT (User Acceptance Testing) and validate that solutions meet requirements. Proficiency in Excel, Tableau, or Power BI for data analysis and reporting is required. Attention to detail and strong organizational skills are expected. Strong analytical thinking and problem-solving capabilities. Ability to manage multiple projects simultaneously and meet deadlines.",Business Analyst
"Drive data-driven decision-making across the organization. Experience with TensorFlow, PyTorch, or Scikit-learn is highly desirable. Familiarity with cloud platforms such as AWS SageMaker or GCP AI Platform is a plus. Communicate findings clearly to both technical and non-technical stakeholders. Build and deploy predictive models using machine learning and statistical techniques.",Data Scientist
"Knowledge of ethical hacking methodologies and tools (Metasploit, Burp Suite, Nmap). Maintain compliance with security frameworks such as ISO 27001, NIST, or SOC 2. Monitor and analyze security events from SIEM platforms to detect threats and anomalies. Ability to work under pressure and respond to incidents outside business hours. Prepare security reports and communicate risks to executive stakeholders. Administer and configure security tools including firewalls, IDS/IPS, and EDR solutions. Conduct security awareness training for employees across the organization. Investigate phishing attacks, malware infections, and data breach attempts.",Cyber Security Analyst
"Monitor system health, availability, and performance using tools like Prometheus and Grafana. Familiarity with configuration management tools like Chef, Puppet, or Ansible is a plus. Understanding of Agile and Scrum delivery methodologies. Experience with service mesh technologies such as Istio is advantageous. Configure and maintain cloud environments on AWS, Azure, or GCP. Work closely with development teams to improve deployment frequency and reliability.",DevOps Engineer
"Set up and manage virtual networks, load balancers, and VPNs in cloud environments. Relevant cloud certifications (AWS Solutions Architect, Azure Administrator) are preferred. Understanding of FinOps principles and cloud cost management. Build and maintain CI/CD pipelines integrated with cloud deployment workflows. Implement cloud security best practices including IAM policies, encryption, and network segmentation. Excellent teamwork and communication skills are required.",Cloud Engineer
Ensure web accessibility standards are met across all user interfaces. Work with relational and non-relational databases such as PostgreSQL and MongoDB. Knowledge of CI/CD practices and automated testing is a plus. Optimize web applications for maximum speed and scalability. Experience with state management libraries such as Redux or Vuex. Collaborate with UI/UX designers to implement pixel-perfect designs.,Full Stack Developer
"Develop data visualizations using Matplotlib, Seaborn, Tableau, or Power BI. Design and execute A/B tests to evaluate product changes and business strategies. Proficiency in SQL for data extraction and exploration is required. Implement NLP pipelines for text classification and sentiment analysis tasks. Clean, transform, and validate data from multiple structured and unstructured sources. A Master's or PhD in Statistics, Mathematics, Computer Science, or a related field is preferred. Stay current with the latest research in machine learning and data science.",Data Scientist
"Develop KPIs and metrics to track business performance. Attention to detail and ability to work with large, complex datasets. Understanding of data warehousing concepts and ETL processes is a plus. Validate data accuracy by cross-referencing multiple data sources. Experience with Google Analytics or similar web analytics tools is beneficial. Write complex SQL queries to extract and transform data from relational databases. Strong organizational skills and ability to document analytical processes thoroughly.",Data Analyst
"Good communication skills and ability to collaborate with remote teams. Integrate third-party services, payment gateways, and external APIs. Deploy applications to cloud platforms and configure hosting environments. Knowledge of CI/CD practices and automated testing is a plus. Develop and maintain both front-end and back-end components of web applications. Span the entire stack: craft Tailwind CSS components in the morning and optimise PostgreSQL queries in the afternoon.",Full Stack Developer
"Optimize front-end performance by minimizing load times and improving rendering efficiency. A degree in Computer Science, Web Development, or a related discipline is preferred. Work within Agile teams and contribute to sprint planning and backlog grooming. Write unit tests and end-to-end tests for front-end components. Specialise in Core Web Vitals optimisation, Lighthouse audits, and lazy-loading strategies for a high-traffic portal. Drive progressive web app (PWA) features including service workers, offline caching, and push notifications. Translate UI/UX designs into clean, semantic HTML, CSS, and JavaScript code. Craft performant React component libraries consumed by multiple product teams, with no server-side responsibilities.",Frontend Developer
"Collaborate with engineering and product teams to integrate models into production systems. Build and deploy predictive models using machine learning and statistical techniques. Implement NLP pipelines for text classification and sentiment analysis tasks. A Master's or PhD in Statistics, Mathematics, Computer Science, or a related field is preferred. Familiarity with cloud platforms such as AWS SageMaker or GCP AI Platform is a plus. Clean, transform, and validate data from multiple structured and unstructured sources.",Data Scientist
"Monitor deployed models for performance drift and data quality issues. Knowledge of MLflow, Kubeflow, or similar ML lifecycle management tools is a plus. Design, build, and deploy scalable machine learning models and pipelines. Write efficient Python code and ensure models meet performance benchmarks. Work in an Agile environment with regular sprint cycles and code reviews. Use frameworks such as TensorFlow, PyTorch, and Scikit-learn to build models. Contribute to the selection and evaluation of ML frameworks and tools.",Machine Learning Engineer
"Familiarity with Docker and Kubernetes is a strong advantage. Strong proficiency in Python, Java, or C++ is required for this role. Apply object-oriented and functional programming paradigms to deliver production-grade Java services. Implement security best practices throughout the software development lifecycle. Deploy applications to cloud platforms including AWS, Azure, or GCP. Integrate third-party services and APIs into existing systems.",Software Engineer
"Proficiency in network security concepts including TCP/IP, DNS, and VPN is essential. A degree in Cyber Security, Computer Science, or Information Technology is required. Perform threat intelligence analysis to stay ahead of emerging attack vectors. Strong attention to detail and commitment to maintaining confidentiality. Experience with SIEM tools such as Splunk, QRadar, or Microsoft Sentinel is required. Strong analytical skills and ability to think like an attacker. Monitor and analyze security events from SIEM platforms to detect threats and anomalies.",Cyber Security Analyst
"Develop RESTful APIs and server-side logic using Node.js, Django, or Flask. Participate in Agile sprints, code reviews, and daily stand-ups. Use version control workflows with Git and follow branching strategies. Switch fluidly between writing TypeScript React components and building Django REST framework endpoints. Work with relational and non-relational databases such as PostgreSQL and MongoDB. Passion for building user-friendly, scalable web products. Implement authentication and authorization mechanisms such as OAuth and JWT. Familiarity with containerization using Docker is advantageous.",Full Stack Developer
"Build high-throughput gRPC microservices in Go with no involvement in front-end or UI work. Develop event-driven architectures using message brokers like Kafka or RabbitMQ. Experience with RESTful and GraphQL API design is expected. Document APIs using tools such as Swagger or Postman. Implement authentication, authorization, and security controls in back-end systems. Optimize database queries and back-end performance for high-traffic applications.",Backend Developer
"Experience with microservices architecture and RESTful API design is expected. Contribute to architectural decisions and technical roadmap discussions. Own the full software development lifecycle from architecture through deployment for core platform services. A degree in Computer Science, Software Engineering, or a related field is preferred. Implement algorithms and data structures to solve computationally intensive engineering problems. Collaborate with cross-functional teams to define, design, and ship new features.",Software Engineer
"Work with large language models (LLMs) and fine-tune pre-trained models for specific domains. Collaborate with research teams to translate cutting-edge AI research into deployable products. Use cloud AI platforms including AWS Bedrock, Azure OpenAI, or GCP Vertex AI. Experience deploying models at scale using Docker and Kubernetes. Strong mathematical background in linear algebra, calculus, and probability. Knowledge of MLOps practices including experiment tracking and model monitoring.",AI Engineer
"Understanding of Agile and Scrum delivery methodologies. Automate repetitive operational tasks using Bash, Python, or PowerShell scripts. Monitor system health, availability, and performance using tools like Prometheus and Grafana. Ensure secure configuration of infrastructure components and access controls. Ability to respond to and resolve production incidents effectively. Manage source code repositories and branching strategies with Git and GitHub.",DevOps Engineer
"Excellent teamwork and communication skills are required. Relevant cloud certifications (AWS Solutions Architect, Azure Administrator) are preferred. A degree in Computer Science, IT, or a related field is preferred. Hands-on experience with AWS, Azure, or GCP is required. Strong problem-solving skills and ability to work under pressure during incidents. Strong scripting skills in Python or Bash for automation tasks. Configure and manage serverless services such as AWS Lambda or Azure Functions. Familiarity with monitoring tools such as CloudWatch, Azure Monitor, or Stackdriver.",Cloud Engineer
"Integrate with third-party APIs, messaging queues, and external data sources. Experience with CI/CD pipelines and automated testing frameworks. Collaborate with front-end developers to define API contracts and data models. Understanding of software design patterns such as MVC, CQRS, and event sourcing. Familiarity with Docker and cloud deployment platforms is advantageous. Design and manage relational and non-relational databases including PostgreSQL and MongoDB. Experience with RESTful and GraphQL API design is expected.",Backend Developer
"Experience with Google Analytics or similar web analytics tools is beneficial. Create dashboards, reports, and visualizations using Tableau, Power BI, or Excel. Work with data engineers to ensure data pipelines deliver accurate data. Strong proficiency in SQL and Excel is required. Excellent communication and data storytelling skills are essential.",Data Analyst
"Create detailed business requirement documents, user stories, and process flows. Work with project managers to ensure project deliverables align with business goals. Monitor and evaluate the performance of implemented solutions. Strong understanding of business process modeling using BPMN is preferred. Excellent written and verbal communication skills are essential. A degree in Business Administration, Information Systems, or a related field is required.",Business Analyst
"Participate in code reviews to ensure code quality and share knowledge with the team. Mentor junior developers and provide technical guidance. Implement algorithms and data structures to solve computationally intensive engineering problems. Build internal developer tooling and automation frameworks used by the wider engineering organisation. Continuously improve software delivery pipelines using CI/CD tools. Write unit tests and integration tests to ensure software reliability. Collaborate with cross-functional teams to define, design, and ship new features. Follow Agile/Scrum methodologies and participate in sprint planning and retrospectives.",Software Engineer
"Ensure AI systems are fair, explainable, and compliant with ethical guidelines. Proficiency in Python and deep learning frameworks such as PyTorch and TensorFlow is required. Maintain up-to-date knowledge of AI research, frameworks, and tooling. Experience with autonomous agents and AI orchestration frameworks is advantageous. Work with transformer architectures including BERT, GPT, and T5. Curiosity and passion for building innovative AI-driven products.",AI Engineer
"Excellent teamwork and communication skills are required. Work with managed database services including RDS, DynamoDB, and Cloud SQL. A degree in Computer Science, IT, or a related field is preferred. Familiarity with monitoring tools such as CloudWatch, Azure Monitor, or Stackdriver. Set up and manage virtual networks, load balancers, and VPNs in cloud environments. Collaborate with development teams to architect cloud-native applications.",Cloud Engineer
"Work closely with product managers and designers to translate requirements into technical solutions. Follow Agile/Scrum methodologies and participate in sprint planning and retrospectives. Use version control systems such as Git to manage source code. Write unit tests and integration tests to ensure software reliability. Strong proficiency in Python, Java, or C++ is required for this role. Familiarity with Docker and Kubernetes is a strong advantage.",Software Engineer
"Span the entire stack: craft Tailwind CSS components in the morning and optimise PostgreSQL queries in the afternoon. Collaborate with UI/UX designers to implement pixel-perfect designs. Develop RESTful APIs and server-side logic using Node.js, Django, or Flask. Build responsive user interfaces using React, Angular, or Vue.js. Integrate third-party services, payment gateways, and external APIs. Deploy applications to cloud platforms and configure hosting environments. Ability to work independently and manage tasks with minimal supervision.",Full Stack Developer
"Collaborate with sales and customer success teams to ensure customer satisfaction. Gather and prioritize product requirements from customers, stakeholders, and market research. Make data-driven decisions by analyzing user behavior and A/B test results. A degree in Business, Computer Science, or a related field is preferred. Ability to lead cross-functional teams without formal authority. Excellent communication and presentation skills for diverse audiences. Lead product discovery processes including user interviews and usability testing. Demonstrated track record of shipping successful products is required.",Product Manager
"Ability to communicate AI concepts clearly to non-technical stakeholders. Develop AI-powered APIs and microservices for integration into production systems. Ensure AI systems are fair, explainable, and compliant with ethical guidelines. Implement RAG (Retrieval-Augmented Generation) pipelines for enterprise knowledge systems. A Master's or PhD in Artificial Intelligence, Computer Science, or a related field is preferred. Build, train, and evaluate deep learning models for classification, detection, and generation tasks. Develop evaluation benchmarks and testing frameworks for AI system quality assurance.",AI Engineer
"Familiarity with configuration management tools like Chef, Puppet, or Ansible is a plus. Automate repetitive operational tasks using Bash, Python, or PowerShell scripts. Experience with Jenkins, GitLab CI, or GitHub Actions is required. Understanding of Agile and Scrum delivery methodologies. Implement logging, alerting, and observability solutions across the infrastructure.",DevOps Engineer
"Bridge the gap between business units and IT development teams. Support UAT (User Acceptance Testing) and validate that solutions meet requirements. Strong understanding of business process modeling using BPMN is preferred. Conduct gap analysis to identify areas of improvement in existing processes. Create detailed business requirement documents, user stories, and process flows. Identify risks and dependencies and escalate issues proactively.",Business Analyst
"Technical background or experience working closely with engineering teams. Proficiency in tools such as JIRA, Confluence, Productboard, or Notion. Strong analytical skills and experience using data to drive product decisions. Make data-driven decisions by analyzing user behavior and A/B test results. Identify and mitigate product risks throughout the development lifecycle. Define and track key product metrics including activation, retention, and revenue. Experience with Agile product management and Scrum frameworks is required.",Product Manager
"Deliver features independently across the client, server, and database tiers of a Next.js e-commerce platform. Good communication skills and ability to collaborate with remote teams. Deploy applications to cloud platforms and configure hosting environments. Familiarity with containerization using Docker is advantageous. Switch fluidly between writing TypeScript React components and building Django REST framework endpoints. Use version control workflows with Git and follow branching strategies. Ensure web accessibility standards are met across all user interfaces. Proficiency in HTML5, CSS3, and modern front-end tooling (Webpack, Vite) is expected.",Full Stack Developer
